Project Code,Bridge Name,Stage,Level 2 Government,Bridge Type,Span (m),,,Ground Breaking Date,Close Date,Interim Invoice Submitted,Interim Invoice Submittal Date,Interim Invoice Link,Interim Report Link,Interim Payment Received,Interim Payment Receipt Date,Interim Payment Receipt Link,Final Invoice Submitted,Final Invoice Submittal Date,Final Invoice Link,Final Payment Received,Final Payment Receipt Date,Final Payment Receipt Link,Certificate of Completion Issue Date,BOQ Grand Total - USD,Project Budget - USD,Project Actuals to Date - USD,BOQ Total - Gov't - USD,Total Amount Invoiced - USD,Total Amount Received - USD,Government Partner Balance - USD,Pre-Bridge Crossing Photo URL,Completed Bridge Photo URL,Handover Photo URL,Link to Completed Contract or MOU,Certificate of Completion Link,Power of One,Link to Accounts Received Certificate,Link to Budget to Actuals Report,Government Reimbursable,latitude,longitude
1017673,Rufuha,Complete,Muhanga,Suspension Bridge,33.7,,,7/29/19,2/21/20,1,9/11/19,https://bridges.box.com/s/2ud7xeja7edivhsqhyf9bzn9qnzozo19,https://bridges.box.com/s/vd36rxe8eksp6z1l78s0o63ykpcjhcui,1,10/9/19,https://bridges.box.com/s/luw1f50bvd2sdp2akwmep58kwnq61tzn,1,4/28/20,https://bridges.box.com/s/ifta2opoa22u54xiute87x9zh976oqyj,1,5/8/20,https://bridges.box.com/s/saeyjtrh9is5lxcdrcgkvwjmbk29aboe,12/19/19,90495.45,,33748.31,31311.45,28784.53,25830.63,2953.9,https://www.flickr.com/photos/bridgestoprosperity/48875684183/in/album-72157711041483051/,https://www.flickr.com/photos/bridgestoprosperity/49773245558/in/dateposted-public/,https://www.flickr.com/photos/bridgestoprosperity/48876375077/in/album-72157711041483051/,https://bridges.box.com/s/tuvi5w1sr018sbi1cibnp3bn77uyk0fp,https://bridges.box.com/s/x29frgqx1x4hm09r1tbt1cgiizihy472,1,https://bridges.box.com/s/dozvrlsjx7vrexc4sonvorpk8grlq6ef,https://bridges.box.com/s/8uyhzg655vbo3ybdhe5rmdgllid2kw6p,Yes,-2.012167,29.763889
1007466,Rugeti,Complete,Nyamagabe,Suspension Bridge,68,,,11/25/19,3/5/20,1,3/19/20,https://bridges.box.com/s/u7pcux0f8m3elp7i05b0oiq7lft93l6t,https://bridges.box.com/s/kskj7g2sai09efn6dm0491jyncha0vhw,1,4/1/20,https://bridges.box.com/s/xz0vvnqajgtig4e7rnwxte14ml2m5j4g,1,6/24/20,https://bridges.box.com/s/h8bxag8einovy4hmx1fkz1suc8cyeef8,1,6/30/20,https://bridges.box.com/s/rkaalpuetgi6idsf0wx273qjj9u0fsbf,3/5/20,108198.01,,41495.14,39981.24,36958.74,36918.99,39.76,https://www.flickr.com/photos/bridgestoprosperity/49277357591/in/album-72157712369263133/,https://www.flickr.com/photos/bridgestoprosperity/49717267657/in/album-72157712369263133/,https://www.flickr.com/photos/bridgestoprosperity/49716437048/in/album-72157712369263133,https://bridges.box.com/s/sxpr6sfqu0yspf9sdnn0xc27l95y8ywe,https://bridges.box.com/s/m8xfejo178jkj32kaqjp48evtuac6csh,1,https://bridges.box.com/s/71pjmtc1eqgl6v0qp4aew9w0su7h3qlc,https://bridges.box.com/s/6t4pwbbtnvz3qfu90hqbrb9o0nmrsdug,Yes,-2.47640667,29.4208
1007481,Mutiwingoma,Complete,Nyamagabe,Suspension Bridge,120,,,7/7/20,11/6/20,1,9/16/20,https://bridges.box.com/s/l3mgyk0uh5r0wizl255792pw3gz2zvjg,https://bridges.box.com/s/axq0z33judapvmn4m6lesiozsrvzrly4,1,11/3/20,https://bridges.box.com/s/e2xsydnbl8zzsan5ovg03dvddcbhdz9m,1,11/20/20,https://bridges.box.com/s/imfcnq0oz6jwkoz2rx6i91vmnv9nmasu,1,3/11/21,https://bridges.box.com/s/v9s88qgf4mby0vi59qdfd1sqw5nq1go2,10/30/20,148942.67,,11201.12,54671.57,51724.7,50972.24,752.46,https://www.flickr.com/photos/bridgestoprosperity/50145291892/in/album-72157715087907948/,https://www.flickr.com/photos/bridgestoprosperity/50620281571/in/album-72157715087907948/,https://www.flickr.com/photos/bridgestoprosperity/50620391502/in/album-72157715087907948/,https://bridges.box.com/s/1c91x8yctl6vm4r9in716d1lva1xhqfz,https://bridges.box.com/s/ozcvj7elyl8jge1rtz0av2uenrztinoj,1,https://bridges.box.com/s/nalec3vwovulz523ys3m0c1lum7arf6h,https://bridges.box.com/s/nle96qqowcze5u3xwfj4gv1gxn32wiui,Yes,-2.363733,29.55353
1007495,Nyakabuye - Nkomane,Complete,Nyamagabe,Suspension Bridge,78,,,7/7/20,10/23/20,1,9/22/20,https://bridges.box.com/s/3rjhw9t94t3kwxps17d689jiyvnm3yz7,https://bridges.box.com/s/v1no3dktfv4y7x1jpj6ilek6fnlu0a6d,1,11/3/20,https://bridges.box.com/s/umi31h45pqkk6ofuz3t6brreik73ef07,1,11/20/20,https://bridges.box.com/s/60i42r8q172azy6abbiyskj49gfzx35h,1,3/24/21,https://bridges.box.com/s/sbi0k1om558rjqku8vgsoobo2lxxficb,10/23/20,112833.04,,10761.43,38923.36,36825.35,36356.29,469.06,https://www.flickr.com/photos/bridgestoprosperity/50566464553/in/album-72157715088236617/,https://www.flickr.com/photos/bridgestoprosperity/50528100391/in/album-72157715088236617/,https://www.flickr.com/photos/bridgestoprosperity/50566429873/in/album-72157715088236617/,https://bridges.box.com/s/opf7qhkuo2tiwzf4ex0wewqhqsryodmq,https://bridges.box.com/s/25kye9dafdymb8r98gqx4cjixuyg8qeg,1,https://bridges.box.com/s/wp45desb7hsibd9tog1ib1pd49expo64,https://bridges.box.com/s/5sjb3lwpug1ctw67s1gz0bqb7yf7d229,Yes,-2.233022,29.57513
1007507,Nyakabuye - Mwogo,Complete,Nyamagabe,Suspension Bridge,118,,,7/7/20,10/6/20,1,9/22/20,https://bridges.box.com/s/gppflle1zo6nqe6ybsbncugce0jmm2nn,https://bridges.box.com/s/jdbv85tfitpdjxcom1euvrg7cicusci1,1,11/3/20,https://bridges.box.com/s/8yokb1y0pyzp9ttmb2tiqlav7a6w3fgn,1,11/20/20,https://bridges.box.com/s/19ouk4aap4i08q3gh73qkl4x0ax53m71,1,3/22/21,https://bridges.box.com/s/jrqbq3e04t0r6svs6mccb4k3z9dky9qb,10/6/20,154744.64,,19177.09,62698.35,58596.57,49125.62,9470.94,https://www.flickr.com/photos/bridgestoprosperity/50145085686/in/album-72157715088179852/,https://www.flickr.com/photos/bridgestoprosperity/50428588576/in/album-72157715088179852/,https://www.flickr.com/photos/bridgestoprosperity/50494204961/in/album-72157715088179852/,https://bridges.box.com/s/qzy4teuzkd6sh1zd8qta09oay8dogltf,https://bridges.box.com/s/dv8ayi9wm0aynb121ucl8vomy55rngjp,1,https://bridges.box.com/s/bvs2ndxdue2ro7bgfs8ul0peqbciwj8p,https://bridges.box.com/s/g8q2q8kalttvhsqs7l1a48rro0gn2gtp,Yes,-2.233278,29.576407
1007544,Runyani,Complete,Nyaruguru,Suspension Bridge,85,,,11/25/19,3/12/20,1,3/27/20,https://bridges.box.com/s/k2l9uvhmm1fu9lyfqa9kipoeqqztpdn8,https://bridges.box.com/s/kzger315ceztsb20wye0913mxq5u38t6,1,6/2/20,https://bridges.box.com/s/hyul4rhb5fn1xq0qwg3x4e9o4ymwu39m,1,6/16/20,https://bridges.box.com/s/jgzjywyldp7yq3tpx5pwhbbeh5fozbhl,1,6/29/20,https://bridges.box.com/s/wa06toa6x21fb54rfvh4s0va3sjv487e,3/18/20,128224.71,,51036.72,42307.14,40267.66,40151.59,116.07,https://www.flickr.com/photos/bridgestoprosperity/49391372191/in/dateposted-public/,https://www.flickr.com/photos/bridgestoprosperity/49652031197/in/photolist-2iDzD2E-2iDyexb-2iDyez5-2iDyewE-2iDzD2p-2itva3H/,https://www.flickr.com/photos/bridgestoprosperity/49537991673/in/photolist-2iDzD2E-2iDyexb-2iDyez5-2iDyewE-2iDzD2p-2itva3H/,https://bridges.box.com/s/d7s8yeiqw70ijl9dcf3ke4gp7etv9hwg,https://bridges.box.com/s/hcm7c1cce86m0xw3ja52np23uant2lxs,1,https://bridges.box.com/s/74sfv2odh4beeivfxol7qe1moibl9m2t,https://bridges.box.com/s/mqdqczvjsyikwmdp728jmkdczcg2es74,Yes,-2.71578,29.67607
1007563,Agatare,Complete,Nyaruguru,Suspension Bridge,96,,,1/13/20,6/17/20,1,3/27/20,https://bridges.box.com/s/nppk8gv0o3sd9y7jyy7fkefeaqsu22g3,https://bridges.box.com/s/fothmsv8r3b26id2x68dnt6aekpzxonf,1,4/23/20,https://bridges.box.com/s/xr88227u7ldt62l7yhi14rs97tfn24is,1,6/25/20,https://bridges.box.com/s/fm6p4y23meynfzj0iha0k1ka9tbk680n,1,7/2/20,https://bridges.box.com/s/ctqxc0jlnw1musx5c1f8m3i32ot09x5u,6/18/20,139748.94,,56211.99,48858.69,44691.03,44543.82,147.21,https://www.flickr.com/photos/bridgestoprosperity/49391691192/in/album-72157712686927146/,https://www.flickr.com/photos/bridgestoprosperity/50036962601/in/dateposted-public/,https://www.flickr.com/photos/bridgestoprosperity/50099199123/in/album-72157712686927146/,https://bridges.box.com/s/1s4p3e53amlgn9lli8cswm42tn2hcvwv,https://bridges.box.com/s/dqehg6bbzvf5x7tz7l39iw4v1r76z6a8,1,https://bridges.box.com/s/u9mce7cp90plahpipk2epa4idemd7bec,https://bridges.box.com/s/rzxjz7zao17iinhrzot8xk3tbgnsfnm3,Yes,-2.69808,29.54557
1007572,Gisoro,Complete,Nyaruguru,Suspended Bridge,82,,,11/25/19,5/22/20,1,3/27/20,https://bridges.box.com/s/zi67yvh1ws46e91cstj1bliwkd0dmy3e,https://bridges.box.com/s/oi25jpjs5n0z38tgke6o54v7rpo10b34,1,4/23/20,https://bridges.box.com/s/gezo9cixino7rtowcxr8ummr6vzq2c7x,1,6/24/20,https://bridges.box.com/s/p40b81siezg6a8h9970cjwnpjwzecdy2,1,6/30/20,https://bridges.box.com/s/yewqu01163zzwdp9ft3vb5b2989qwq3n,5/27/20,98380.81,,37779.33,37181.66,32432.4,32409.71,22.69,https://www.flickr.com/photos/bridgestoprosperity/49390764808/in/album-72157712686321187/,https://www.flickr.com/photos/bridgestoprosperity/50045592407/in/dateposted-public/,https://www.flickr.com/photos/bridgestoprosperity/50100029342/in/album-72157712686321187/,https://bridges.box.com/s/27p9lf4yq7eslu49el4pw7pr0aa9jsmh,https://bridges.box.com/s/0tm3vvbhcvkktj3c2n9omrbknykp1nb4,1,https://bridges.box.com/s/ou1wawgtverv6vqg57me36o8mc630vnt,https://bridges.box.com/s/du5g4nvzc9t4t0pyxg8jfi704xscdwn2,Yes,-2.7891,29.56721
1007580,Ryakanyamiganda,Complete,Nyaruguru,Suspension Bridge,35,,,12/2/19,5/30/20,1,3/27/20,https://bridges.box.com/s/tyk5dg0jiccet0izv6dj8s8p0j5sm5sb,https://bridges.box.com/s/xa0q7jmo53rwhlhcvsi1bjx82ld6fol7,1,5/28/20,https://bridges.box.com/s/v7k1lv9xbl7txxccfhvj1becpyehtdm8,1,6/16/20,https://bridges.box.com/s/a6ky42q93md2912yvl9nx9984u29c1ac,1,6/29/20,https://bridges.box.com/s/qy8yco8blbe4xzak8sei4f03eljkca96,6/9/20,87691.77,,35787.88,28036.83,26434.61,26397.33,37.28,https://www.flickr.com/photos/bridgestoprosperity/49391314056/in/album-72157712687924773/,https://www.flickr.com/photos/bridgestoprosperity/49970965908/in/album-72157712687924773/,https://www.flickr.com/photos/bridgestoprosperity/49971483851/in/album-72157712687924773/,https://bridges.box.com/s/rbjjdwzauyrmm8asvk7y22b0e9qz3lyo,https://bridges.box.com/s/c4ndpd5xre1iro2ckjljfjyf26q7f954,1,https://bridges.box.com/s/x5x07vvsihj8jdj3iq7uikp865wzyj4j,https://bridges.box.com/s/f3mtj6xipp8gp0hq7hf292irxly5gf76,Yes,-2.79415,29.6986
1007590,Ruganza,Complete,Nyaruguru,Suspended Bridge,44,,,1/13/20,3/20/20,1,3/27/20,https://bridges.box.com/s/3xs9b2rllykl575dzghil9wfum77i3x2,https://bridges.box.com/s/y5kcokqjdhw2c7te4416180qq4jdfosy,1,5/28/20,https://bridges.box.com/s/4n3oq0tjeq0c6nm13e4y3w9i1e0vgl7h,1,6/16/20,https://bridges.box.com/s/2rfcak9s7gh598s1ndq9ydsxbsolihjb,1,6/29/20,https://bridges.box.com/s/jb0vxmk8ysrr4emc0zjy1nlm0dp4no91,5/11/20,75217.57,,29361.81,26503.57,24948.33,24913.15,35.18,https://www.flickr.com/photos/bridgestoprosperity/49539434312/in/album-72157712686829556/,https://www.flickr.com/photos/bridgestoprosperity/49730547332/in/dateposted-public/,https://www.flickr.com/photos/bridgestoprosperity/49885572688/in/dateposted-public/,https://bridges.box.com/s/6ewz939emuzufsc3jtx3xjhh97n826ul,https://bridges.box.com/s/g8zg4gh7gowhty37okn6pjyxm4506x40,1,https://bridges.box.com/s/17opsbjljbxqu7nee2gxjoy2of9qevwt,https://bridges.box.com/s/xq09i06nd0n1cfw040lffamqr5j331fo,Yes,-2.63522167,29.45740167
1009445,Rukurazo,Complete,Muhanga,Suspension Bridge,49,,,9/9/19,3/12/20,1,11/13/19,https://bridges.box.com/s/3jzy3wml9144hccsyo6imsz9cojwgsxd,https://bridges.box.com/s/uuoz4tbs24wx88z1pdgi06jc5dzhozcf,1,11/29/19,https://bridges.box.com/s/xx0y7l4p26m47e438e6jfejr7c73nzy7,1,6/15/20,https://bridges.box.com/s/hoeb6th5qs6dy0mmrqq05qnwj6fpeizw,0,5/11/22,https://bridges.box.com/s/gyztpkhk53i7swmxn4ght20awkuyk9ox,11/22/19,96179.48,,39310.43,32855.66,31339.14,24076.99,7262.15,https://www.flickr.com/photos/bridgestoprosperity/49199058646/in/album-72157711046357258/,https://www.flickr.com/photos/bridgestoprosperity/49651799606/in/photolist-2iDyshQ-2iDysbs-2iDvGvT-2iDvGu5-2iDysd6-2iDzRnm-2iDzRoZ-2iDysav-2iDzRnX-2iDzRn6-2iDzRqN/,https://www.flickr.com/photos/bridgestoprosperity/49391077686/in/album-72157711046357258/,https://bridges.box.com/s/cnf6eadautiz1f6nprzx3v9zrxwog4kf,https://bridges.box.com/s/nfkvamocv9wk5hevth10oarymashopcc,1,,https://bridges.box.com/s/4gf7z0icnjrulb5i0vw5g722gmn8bzri,Yes,-2.115072,29.700843
1012813,Kiruri,Complete,Rutsiro,Suspended Bridge,50,,,9/30/19,3/2/20,1,3/5/20,https://bridges.box.com/s/yc2f9rdqbo3x5xgyg8moipboe8zo71va,https://bridges.box.com/s/a3xpno2ca2qlptiss2imvhvru5ghroya,1,3/27/20,https://bridges.box.com/s/oq0ca4etpkrc1yu0ymqykr1wnxqjsk2j,1,6/22/20,https://bridges.box.com/s/upwz0ot5swsba0k3hc3xqo29qezrsr00,1,7/2/20,https://bridges.box.com/s/y8i2ov9ylpnu1d08l696k4v36x4k4pvn,3/19/20,81681.32,,30535.1,33780.22,24660.45,20232.67,4427.79,https://www.flickr.com/photos/bridgestoprosperity/49042363676/in/album-72157711719811293/,https://www.flickr.com/photos/bridgestoprosperity/49729676293/in/album-72157711719811293/,https://www.flickr.com/photos/bridgestoprosperity/49237194152/in/album-72157711719811293/,https://bridges.box.com/s/zi5i3bg2hghqend8mcsobkcbr1k4viua,https://bridges.box.com/s/hlfscjifnd40nvlg0uz1tcvxnh0m4hka,1,https://bridges.box.com/s/lrexfffy96zjudjpudypil06ztogjcjr,https://bridges.box.com/s/v33monikel4nkwgot8luzkii5xup6xgk,Yes,-1.985833,29.40916
1012817,Gitikirema-kigarama,Complete,Nyamagabe,Suspended Bridge,68,,,11/25/19,3/12/20,1,3/19/20,https://bridges.box.com/s/fo4i9brocd5lsx0ioz7ot47368bbpcg8,https://bridges.box.com/s/7l89utma9bvbg1ph64r73v09xd2q07xs,1,4/1/20,https://bridges.box.com/s/b6turtc3ptjsxpkgd3y173fpce8albl1,1,6/24/20,https://bridges.box.com/s/5vw7sw2vhgq7lr553s6ln1vt03dw7ooz,1,7/2/20,https://bridges.box.com/s/l4ic9tjz31otsma0xmz9y5vf91ac1uix,3/6/20,94870.93,,35966.59,36556.77,32483.97,32348.45,135.52,https://www.flickr.com/photos/bridgestoprosperity/49276830833/in/album-72157712367690322/,https://www.flickr.com/photos/bridgestoprosperity/49729748518/,https://www.flickr.com/photos/bridgestoprosperity/49717276186/in/album-72157712367690322/,https://bridges.box.com/s/ykiinqsh5nsp548d4wfdcfuejffw1736,https://bridges.box.com/s/e3e7ye3ahcmzoyxpioaa11316t8mlxu3,1,https://bridges.box.com/s/f53b478o0za8zlvhyvhs7ornwcflppfo,https://bridges.box.com/s/c19u65ba3oxp5mhk51x3yfde0wwuq5ec,Yes,-2.304674,29.472585
1012953,Gashyushya,Complete,Muhanga,Suspension Bridge,42,,,7/29/19,2/21/20,1,9/11/19,https://bridges.box.com/s/pusxr6s2o8ua71f8js6clbxa20mk2gy2,https://bridges.box.com/s/jrw5tq0wx6p6lhoe3lcy0fcxue2wrdxi,1,10/9/19,https://bridges.box.com/s/y6e0ncgw82n80xvp0zl6micsotz395p6,1,4/28/20,https://bridges.box.com/s/w90fctn6bltx022ityaf629estlfhc9x,1,5/8/20,https://bridges.box.com/s/saeyjtrh9is5lxcdrcgkvwjmbk29aboe,12/19/19,93419.61,,35359.12,31869.99,30346.63,27076.18,3270.44,https://www.flickr.com/photos/bridgestoprosperity/48786998051/in/album-72157711041916097/,https://www.flickr.com/photos/bridgestoprosperity/49730236613/in/photolist-2iLxcRc-2iLBEAL-2iLusLD/,https://www.flickr.com/photos/bridgestoprosperity/50494666041/in/album-72157711041916097/,https://bridges.box.com/s/bj2r4xzjnevc1ln5lgsuqkiox4pi7mw1,https://bridges.box.com/s/jhhiaj4s6j4pzs4p3mlosbzl2f4xmrf1,1,https://bridges.box.com/s/p0vsoabytl3jog219oxvc5s5ech7hyj6,https://bridges.box.com/s/jfmt2nfteji89f60ll4mh7bnsvpku8or,Yes,-2.01211492,29.76212259
